"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2014 11:53:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Change in private inventories","A014RC1","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","110,541.0"
"20","2","Farm","B018RC1","3,271.0","1,266.0","-2,730.0","-1,398.0","37.0","-2,497.0","67.0","8,807.0","225.0","-3,577.0","-706.0","1,607.0","-1,602.0","-7,323.0","-6,359.0","-11,742.0","40,670.0"
"21","3","Mining, utilities, and construction","N541RC1","1,519.0","5,392.0","-1,272.0","-2,197.0","8,194.0","-2,895.0","6,011.0","1,239.0","3,582.0","16,242.0","-3,412.0","-7,731.0","-2,583.0","1,393.0","-4,248.0","7,701.0","-1,379.0"
"22","4","Manufacturing","N150RC1","21,067.0","15,423.0","13,887.0","6,881.0","-23,506.0","-220.0","-7,110.0","5,561.0","20,725.0","18,436.0","17,243.0","-15,040.0","-26,260.0","23,405.0","23,969.0","11,050.0","14,113.0"
"23","5","  Durable goods industries","N624RC1","14,146.0","16,018.0","6,318.0","6,219.0","-19,514.0","-2,769.0","-4,636.0","3,868.0","16,505.0","12,412.0","12,486.0","-5,685.0","-24,059.0","17,348.0","21,970.0","14,182.0","12,988.0"
"24","6","  Nondurable goods industries","N625RC1","6,921.0","-595.0","7,569.0","662.0","-3,992.0","2,549.0","-2,474.0","1,693.0","4,220.0","6,024.0","4,757.0","-9,355.0","-2,201.0","6,057.0","1,999.0","-3,132.0","1,125.0"
"25","7","Wholesale trade","N658RC1","25,330.0","21,432.0","18,910.0","18,854.0","-12,336.0","166.0","1,318.0","20,821.0","27,712.0","22,355.0","15,257.0","18,685.0","-61,893.0","26,089.0","21,749.0","22,386.0","27,357.0"
"26","8","  Durable goods industries","N661RC1","17,252.0","17,021.0","14,072.0","13,524.0","-16,663.0","-1,498.0","2,494.0","19,283.0","20,701.0","18,120.0","3,202.0","8,941.0","-49,578.0","10,764.0","30,182.0","22,532.0","14,623.0"
