"","Table 6#3C# Wages and Salaries by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 2:59:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Wages and salaries","A034RC0",2256267,2439782,2583051,2741199,2814478,2965541,3079340,3236589,3418022,3616469,3876844,4181616,4458006,4825865
"9","2","Domestic industries","A4102C0",2257623,2440649,2584336,2743506,2817229,2968506,3082660,3240604,3422112,3620594,3881246,4186179,4465176,4832430
"10","3","  Private industries \1\","A4103C0",1834505,1988612,2103230,2224457,2268464,2396505,2493650,2631108,2793086,2972500,3209359,3484866,3731410,4052643
"11","4","    Agriculture, forestry, and fishing","A4104C0",17599,19848,21117,23755,23839,24056,25576,27087,28820,30875,33620,36507,38915,41817
"12","5","      Farms","Q4105C0",8389,9464,10000,11666,11301,11061,11933,12213,13079,13752,14894,15883,16169,16970
"13","6","      Agricultural services, forestry, and fishing","B4106C0",9210,10384,11116,12089,12538,12995,13643,14873,15741,17123,18726,20625,22747,24848
"14","7","    Mining","A4107C0",24144,25147,25198,26878,27241,26741,26191,26559,26652,27764,29934,30777,29273,31216
"15","8","      Metal mining","Q4108C0",1486,1827,2093,2228,2243,2265,2213,2214,2437,2734,2708,2559,2473,2201
"16","9","      Coal mining","B4109C0",5784,5586,5546,5915,5620,5430,4862,5056,4864,4769,4766,4653,4352,4107
"17","10","      Oil and gas extraction","B4110C0",13775,14425,14208,15290,16113,15705,15691,15689,15542,16305,18245,19067,17800,20168
"18","11","      Nonmetallic minerals, except fuels","Q4111C0",3099,3309,3351,3444,3265,3341,3425,3600,3808,3957,4216,4498,4649,4739
"19","12","    Construction","B4112C0",117800,128027,133738,137785,128882,127826,132906,145991,156084,170342,187119,207967,230709,253462
"20","13","    Manufacturing","A4113C0",497183,530231,548249,562003,563432,584704,593892,622467,649783,675860,720196,758303,784522,832772
"21","14","      Durable goods","A4114C0",311111,331995,342350,347210,343060,352222,356831,377381,397520,416881,447560,474465,494466,529461
"22","15","        Lumber and wood products","B4115C0",14505,15561,15559,15547,14739,15651,16744,18309,19191,20228,21485,22794,24153,24514
"23","16","        Furniture and fixtures","B4116C0",9529,10126,10433,10575,10115,10776,11371,12063,12561,13038,14028,15227,16079,16950
"24","17","        Stone, clay, and glass products","B4117C0",14232,15097,15460,15636,15014,15513,15912,16928,17679,18608,19632,20775,21810,23398
"25","18","        Primary metal industries","B4118C0",21982,24080,25136,25305,24449,24865,25118,26697,27902,28935,29954,30738,31012,31767
"26","19","        Fabricated metal products","B4119C0",35055,37395,38611,39567,39066,40302,41238,44329,46953,48704,52042,54482,56311,58703
"27","20","        Industrial machinery and equipment","B4120C0",60374,65603,68031,69906,69675,70633,72143,76367,81903,86692,94831,100722,104616,114204
"28","21","        Electronic and other electric equipment","B4121C0",48189,50064,51465,51762,51728,52997,54590,58202,62218,66350,72686,77696,83239,97808
"29","22","        Motor vehicles and equipment","B4122C0",29798,31700,32184,31221,30908,33579,35794,41713,45565,46423,48626,51518,54694,56299
"30","23","        Other transportation equipment","B4123C0",39194,40406,42356,43838,42544,41999,38361,36690,36132,37261,40734,43664,43603,43210
"31","24","        Instruments and related products","B4124C0",30609,33617,34544,35051,35890,36435,35720,35663,36698,39471,41815,44573,46139,49255
"32","25","        Miscellaneous manufacturing industries","B4125C0",7645,8347,8573,8802,8933,9471,9840,10420,10719,11169,11727,12276,12810,13354
"33","26","      Nondurable goods","A4126C0",186072,198235,205899,214793,220372,232481,237062,245086,252262,258980,272635,283838,290057,303311
"34","27","        Food and kindred products","B4127C0",36525,38334,39554,41316,43161,45192,46210,47653,49334,50790,52974,55437,56863,60112
"35","28","        Tobacco products","Q4128C0",1917,2054,2099,2047,2050,2130,2003,1998,2151,2308,2362,2318,2241,2399
"36","29","        Textile mill products","B4129C0",13100,13482,13911,13797,13964,14927,15348,15856,15790,15616,16283,16239,15815,15657
"37","30","        Apparel and other textile products","B4130C0",14989,15670,16129,16146,16339,16983,17007,17404,17208,16793,16835,16518,15789,15160
"38","31","        Paper and allied products","Q4131C0",20188,21301,22181,23138,23554,24892,25353,26155,26994,27790,28966,29368,29960,30474
"39","32","        Printing and publishing","Q4132C0",35640,39057,40430,42618,43132,44874,45878,47808,49758,51332,54697,57870,59843,62972
"40","33","        Chemicals and allied products","B4133C0",35913,39392,41445,44105,46005,49066,49560,50429,52071,54493,58138,61510,64492,70278
"41","34","        Petroleum and coal products","B4134C0",6412,6413,6543,6984,7380,7765,7632,7854,7746,7715,8086,8549,8339,8114
