"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2013 3:04:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7
"9","2","Less: Exports of goods and services","A020RX1",168.4,186.5,189.6,203.9,242.3,261.5,259.8,271.1,277.7,306.9,337.4,373.7,378.3,349.4,340.4,368.2,380.5,409.7,454.4,528,589.1,641.1,683.6,730.9,754.8,821.5,905.9,980,1096.8,1122.4,1174.1,1272.4,1200.5,1178.1,1197.2,1309.3,1388.4,1512.4,1647.3,1741.8,1583.8,1765.6,1890.5,1957.4
"10","3","Plus: Imports of goods and services","A021RX1",243.7,254.1,267.7,297.8,311.6,304.6,270.7,323.6,359,390.1,396.6,370.3,380,375.2,422.6,525.4,559.5,607.3,643.3,668.6,698,723,721.9,772.5,839.3,939.5,1014.6,1102.9,1251.4,1397.7,1556.4,1755.1,1704.7,1763,1838.8,2041.2,2165.5,2298.6,2350.9,2288.7,1976,2228.1,2336.4,2388.2
